V1,V2,V3
*_SCFLD54_193823,<nnxnp>,--,np,nn,--,np,--,nn,--,--,np,np,nn,nn,nn,nn,nn,np,nn,np,--,np,--,np,--,nn,np,--,np,np,--,--,--,nn,np,np,np,np,--,--,--,np,np,np,--,np,nn,np,nn,np,np,nn,nn,nn,nn,nn,np,--,--,np,np,--,np,np,nn,nn,np,nn,nn,--,--,nn,--,np,--,--,np,np,nn,nn,nn,nn,np,nn,np,np,--,nn,np,np,nn
*_SCFLD54_337602,<nnxnp>,--,--,np,--,--,--,--,--,--,nn,--,--,--,np,np,--,nn,np,nn,--,--,np,--,--,--,nn,nn,nn,--,np,--,np,np,--,nn,nn,nn,--,--,--,--,nn,nn,np,--,np,nn,--,nn,nn,np,np,--,np,np,--,--,--,--,--,nn,nn,nn,--,np,--,np,np,nn,--,np,np,--,--,--,--,nn,--,--,--,np,--,--,--,--,--,--,nn,nn,--
*_SCFLD54_337758,<nnxnp>,np,nn,--,--,nn,np,np,--,--,--,--,--,--,np,np,np,nn,--,--,np,nn,np,nn,--,np,nn,nn,nn,--,np,np,--,np,--,nn,nn,nn,nn,--,--,nn,nn,--,np,nn,np,nn,np,--,nn,np,--,--,np,np,nn,--,nn,nn,nn,nn,nn,nn,--,--,np,--,np,nn,--,np,np,nn,--,--,nn,nn,--,np,np,np,--,--,--,nn,--,--,nn,nn,--
*_SCFLD54_350843,<nnxnp>,--,nn,--,--,nn,--,np,nn,--,nn,--,np,--,np,--,--,nn,np,--,--,nn,--,--,--,np,nn,--,nn,nn,np,np,--,np,nn,nn,nn,nn,nn,--,--,nn,--,nn,np,nn,np,nn,--,nn,nn,np,np,np,--,--,nn,--,--,nn,--,nn,nn,nn,--,np,--,np,np,nn,--,--,np,nn,--,np,--,nn,np,np,np,np,--,np,nn,nn,--,np,--,nn,np
*_SCFLD54_400475,<nnxnp>,--,--,np,--,--,--,np,--,nn,nn,--,np,--,np,--,np,nn,np,--,--,--,np,nn,--,--,nn,nn,nn,nn,--,np,--,--,nn,nn,nn,--,--,--,--,--,--,--,np,nn,np,nn,np,nn,nn,--,np,np,--,np,nn,--,--,nn,nn,nn,nn,--,np,np,np,np,np,nn,--,np,np,nn,--,--,nn,--,--,--,np,np,--,--,--,--,--,--,--,nn,--
*_SCFLD54_400487,<nnxnp>,--,--,nn,--,--,--,nn,--,np,np,--,nn,--,nn,--,nn,np,nn,--,--,--,nn,np,--,--,np,np,np,np,--,nn,nn,nn,np,np,np,--,--,--,--,--,--,--,nn,np,nn,np,nn,np,np,--,nn,nn,--,nn,np,--,--,np,np,np,np,--,nn,nn,nn,nn,nn,np,--,nn,nn,np,--,--,np,--,--,--,nn,--,--,--,--,--,--,--,--,np,--
*_SCFLD54_400511,<nnxnp>,--,--,nn,--,--,--,nn,--,np,np,--,nn,--,nn,nn,nn,np,nn,--,--,--,nn,np,--,--,np,np,np,np,--,nn,nn,nn,np,np,np,--,--,np,--,--,np,np,nn,np,nn,np,nn,np,np,nn,nn,nn,--,nn,np,np,--,np,np,np,np,--,nn,nn,nn,nn,nn,np,--,nn,nn,np,--,--,np,--,--,--,nn,--,--,--,--,--,--,nn,--,np,nn
*_SCFLD54_400525,<hkxhk>,--,--,hh,--,--,--,hh,--,kk,kk,--,hh,--,hk,hk,hh,kk,hk,--,--,--,hh,kk,--,--,hk,hk,hk,hk,--,hh,hk,hk,kk,hk,hk,--,--,hk,--,--,hk,hk,hh,hk,hh,hk,hk,hk,hk,hh,hk,hk,hh,hh,hk,hk,--,kk,hk,hk,hk,hk,hh,hh,hh,hh,hk,kk,--,hh,hh,kk,--,--,hk,--,--,--,hh,--,--,hk,--,--,--,hh,--,hk,hh
*_SCFLD54_400544,<nnxnp>,--,--,nn,--,--,--,nn,np,np,np,--,nn,--,nn,nn,nn,np,nn,--,--,--,nn,np,nn,--,np,np,np,np,--,nn,nn,nn,np,np,np,np,--,np,--,--,np,np,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,nn,np,np,--,np,np,np,np,np,nn,nn,nn,nn,nn,np,--,nn,nn,np,--,--,np,--,--,--,nn,--,--,nn,np,--,--,nn,--,np,nn
*_SCFLD96_489895,<nnxnp>,--,nn,--,--,nn,np,--,--,--,nn,--,--,--,np,--,np,nn,np,np,--,nn,np,--,np,np,nn,nn,--,nn,--,np,np,--,nn,nn,nn,nn,--,--,np,nn,nn,nn,--,nn,--,nn,--,nn,nn,np,--,--,--,--,--,--,--,nn,nn,nn,nn,np,np,--,--,np,--,nn,nn,np,np,--,np,--,--,nn,--,np,--,np,--,np,nn,--,--,--,--,--,--
*_SCFLD96_489925,<nnxnp>,--,np,--,--,np,nn,--,--,--,--,--,--,--,nn,--,nn,np,--,nn,--,np,nn,--,--,nn,np,--,--,np,--,nn,nn,--,np,np,np,np,--,--,nn,np,np,np,--,np,--,np,--,np,np,nn,--,--,--,nn,--,--,--,np,np,np,np,nn,nn,--,--,nn,--,--,--,nn,nn,--,--,--,--,np,--,nn,--,nn,--,nn,np,--,--,--,--,--,--
*_SCFLD96_534927,<lmxll>,--,--,--,--,ll,--,--,--,--,--,--,lm,--,--,ll,--,--,--,--,--,lm,--,ll,--,lm,lm,lm,--,--,--,lm,--,ll,--,lm,lm,--,--,--,--,ll,lm,--,--,lm,--,--,--,lm,lm,lm,ll,ll,ll,--,lm,--,--,ll,--,lm,lm,--,lm,lm,--,--,ll,ll,--,lm,lm,--,--,--,--,lm,--,ll,--,lm,--,ll,--,lm,--,lm,ll,lm,lm
