V1,V2,V3
*_SCFLD1_146120,<lmxll>,--,lm,ll,--,--,--,--,--,--,ll,--,--,--,lm,ll,lm,lm,ll,--,ll,--,lm,--,--,--,lm,ll,lm,lm,--,ll,--,--,--,--,lm,ll,ll,--,--,lm,--,ll,--,lm,--,--,lm,lm,ll,--,--,ll,--,--,--,--,--,--,ll,ll,lm,ll,lm,--,--,ll,ll,--,ll,--,ll,ll,--,--,ll,ll,--,ll,ll,lm,--,lm,--,lm,--,lm,lm,ll,ll
*_SCFLD1_291812,<nnxnp>,--,nn,--,--,nn,--,--,nn,--,--,--,np,--,--,nn,--,np,nn,np,nn,np,np,--,--,np,np,--,--,nn,--,--,--,--,--,nn,nn,nn,np,--,--,--,--,np,--,--,nn,np,--,--,np,np,--,nn,--,--,--,--,nn,nn,np,--,nn,--,--,nn,nn,--,np,np,--,np,nn,--,nn,--,np,np,nn,--,--,--,--,nn,nn,np,--,nn,--,nn,--
*_SCFLD1_292020,<nnxnp>,--,nn,--,--,nn,--,np,nn,--,np,--,np,nn,--,nn,np,np,nn,--,nn,np,np,--,--,--,np,nn,np,nn,np,np,--,--,np,nn,nn,nn,np,--,--,np,nn,np,np,np,nn,np,--,nn,np,np,np,--,nn,np,np,--,--,nn,np,--,nn,nn,--,nn,nn,--,--,np,--,--,nn,nn,nn,--,--,np,--,--,nn,nn,np,--,nn,np,--,nn,--,nn,--
*_SCFLD1_349301,<nnxnp>,nn,--,nn,--,nn,np,--,nn,np,--,np,np,--,np,--,np,np,nn,np,--,np,np,--,--,--,np,nn,np,--,np,np,--,np,np,nn,nn,--,--,--,--,np,--,np,--,--,nn,np,--,nn,np,np,np,nn,--,np,np,--,nn,nn,np,nn,nn,nn,np,nn,nn,np,--,np,--,np,nn,nn,--,np,np,np,nn,np,--,--,--,nn,nn,np,--,nn,--,nn,--
*_SCFLD1_349317,<nnxnp>,--,--,nn,--,nn,np,--,nn,--,--,np,--,--,np,--,np,np,--,np,--,np,np,--,--,--,np,nn,np,--,--,np,--,np,--,nn,nn,--,--,--,--,np,--,np,--,--,nn,np,--,nn,np,--,np,nn,--,np,np,--,--,nn,np,nn,nn,--,np,nn,nn,np,--,np,--,--,nn,--,--,np,--,np,nn,np,--,--,--,nn,--,np,--,nn,--,nn,--
*_SCFLD1_641820,<hkxhk>,--,--,--,--,hk,--,hh,hk,--,hh,--,hk,--,--,--,--,hk,hk,hh,hk,hh,hk,hk,--,hk,hk,hk,hk,kk,--,hh,--,--,--,kk,--,--,hh,--,--,hk,kk,hh,--,hk,kk,hh,--,kk,hh,hk,hk,hk,--,--,--,--,--,hk,hh,hk,kk,hk,--,--,--,--,--,hh,hh,--,hk,hk,--,--,hh,hh,kk,--,--,--,--,--,--,hk,--,kk,hk,hk,--
*_SCFLD1_641852,<hkxhk>,--,--,--,--,hk,--,hh,hk,--,hh,hh,hk,--,--,--,--,hk,hk,hh,hk,hh,hk,hk,--,hk,hk,hk,hk,kk,--,hh,--,--,hk,kk,--,--,hh,--,--,hk,--,--,--,hk,kk,hh,hk,kk,hh,hk,hk,hk,--,--,--,--,--,hk,hh,hk,kk,hk,hk,hk,--,--,--,hh,hh,--,hk,hk,--,hk,hh,hh,kk,hh,--,--,--,--,--,hk,--,kk,hk,hk,--
*_SCFLD1_694886,<lmxll>,--,lm,--,--,--,--,ll,--,--,ll,ll,--,--,lm,ll,--,lm,ll,--,ll,ll,lm,ll,--,--,lm,--,--,lm,--,ll,--,--,--,lm,--,--,ll,--,--,lm,--,--,lm,--,lm,ll,--,lm,ll,--,lm,--,lm,--,lm,--,--,ll,ll,--,lm,ll,--,ll,ll,--,ll,ll,--,lm,ll,--,--,--,ll,ll,lm,ll,--,--,--,lm,lm,lm,--,lm,lm,ll,--
*_SCFLD1_780090,<nnxnp>,--,nn,np,--,--,--,nn,np,--,nn,nn,--,--,nn,--,nn,nn,np,nn,np,--,nn,np,--,nn,nn,--,nn,np,--,nn,--,--,--,np,np,np,nn,nn,--,nn,np,nn,--,nn,--,nn,--,np,nn,--,--,np,np,--,nn,nn,--,np,nn,np,np,np,nn,nn,np,--,nn,nn,--,nn,np,--,--,nn,nn,--,--,nn,nn,nn,--,np,--,nn,--,np,nn,np,nn
*_SCFLD1_780132,<nnxnp>,--,--,np,--,--,--,nn,np,--,nn,nn,--,--,nn,--,nn,--,np,nn,np,--,--,--,--,nn,nn,np,np,np,--,nn,--,--,--,np,np,np,nn,nn,--,nn,np,--,nn,nn,--,nn,--,np,--,--,--,--,np,--,--,nn,--,--,--,--,np,np,nn,nn,np,--,nn,nn,--,nn,np,--,--,nn,nn,--,--,nn,--,nn,--,np,--,nn,--,np,nn,np,nn
