V1,V2,V3
*_SCFLD2_127019,<nnxnp>,--,nn,--,--,nn,--,nn,--,--,nn,nn,np,--,nn,--,--,np,nn,--,np,--,np,--,--,nn,--,np,--,np,nn,--,--,--,np,nn,np,nn,--,--,--,np,--,np,nn,nn,nn,nn,nn,np,nn,np,--,--,nn,nn,nn,--,--,np,nn,np,np,--,nn,nn,--,nn,--,np,--,np,np,np,--,--,--,--,--,--,np,nn,--,nn,--,--,--,np,--,nn,nn
*_SCFLD2_127031,<hkxhk>,--,--,--,--,hk,--,kk,--,--,hk,kk,hk,--,hk,--,--,hk,hk,--,hk,--,hk,--,--,hk,--,hk,--,hh,kk,--,--,--,hk,kk,hh,kk,--,--,--,hk,--,--,hk,kk,kk,kk,hk,hk,hk,hk,--,--,kk,hk,kk,--,--,hh,hk,hh,hk,--,hk,--,hh,hk,--,hh,--,hh,hk,hh,--,--,--,--,--,--,hk,hk,--,kk,--,--,--,hh,--,kk,kk
*_SCFLD2_127067,<lmxll>,--,--,--,--,lm,--,ll,--,--,lm,ll,--,--,--,--,--,ll,lm,--,ll,--,ll,--,--,--,--,ll,--,lm,ll,--,--,--,--,ll,lm,ll,--,--,--,ll,--,--,lm,ll,ll,ll,--,ll,lm,ll,--,--,ll,lm,ll,--,--,lm,lm,lm,ll,--,lm,--,lm,lm,--,lm,--,lm,ll,lm,--,--,--,--,--,--,--,lm,--,ll,--,--,--,lm,--,ll,ll
*_SCFLD2_127114,<nnxnp>,--,nn,--,--,--,--,--,--,--,nn,--,np,--,nn,--,nn,np,nn,nn,np,np,np,np,--,--,np,--,--,--,--,--,--,--,np,nn,np,--,np,--,--,np,--,np,nn,nn,nn,--,--,np,nn,np,np,--,nn,--,nn,--,--,np,--,np,--,np,--,np,np,--,np,np,--,np,np,--,np,--,nn,nn,nn,nn,np,nn,--,--,np,--,nn,np,np,nn,nn
*_SCFLD2_183989,<hkxhk>,--,--,--,--,hk,--,--,kk,--,--,--,hk,hk,hk,hk,--,hk,hk,--,--,kk,hk,--,--,--,kk,hh,hk,--,--,--,--,--,--,hh,kk,hh,--,--,--,hk,hh,kk,--,--,hh,hh,hk,hk,hk,--,--,kk,hh,--,hh,--,--,--,hk,--,hk,kk,--,--,--,hk,kk,--,--,kk,hk,--,--,--,hh,hk,hk,hk,--,hk,--,hh,--,kk,--,kk,kk,--,hh
*_SCFLD2_184080,<hkxhk>,--,hk,--,--,--,--,--,--,--,--,kk,hh,hk,hk,hk,hk,--,hk,kk,hk,hh,--,hk,--,hk,hh,kk,hk,hh,--,--,--,hh,hk,kk,hh,kk,hh,--,--,--,kk,--,--,--,kk,--,--,hk,hk,hk,hk,hh,kk,hk,--,--,--,hh,--,hh,hk,hh,--,hk,--,--,--,hh,--,hh,hk,hh,--,--,kk,--,hk,hk,--,hk,--,kk,hh,--,--,hh,--,kk,--
*_SCFLD2_184088,<hkxhk>,--,hk,--,--,--,--,--,--,--,--,kk,hh,hk,hk,hk,hk,--,hk,kk,hk,hh,--,hk,--,hk,hh,kk,hk,hh,--,--,--,hk,hk,kk,hh,kk,hh,--,--,--,kk,--,--,--,kk,--,--,hk,hk,hk,hk,hh,kk,hk,--,--,--,hh,hk,hh,hk,hh,--,hk,--,--,--,hh,--,hh,hk,hh,--,--,kk,--,hk,hk,--,hk,--,kk,hh,--,--,hh,--,kk,--
*_SCFLD2_241700,<nnxnp>,np,--,nn,--,nn,--,nn,np,--,nn,nn,np,--,nn,--,nn,np,nn,nn,np,--,np,np,--,nn,np,nn,np,np,nn,--,--,np,--,nn,np,nn,np,--,--,np,nn,--,--,--,nn,nn,--,np,nn,np,--,np,nn,nn,--,np,--,np,nn,--,np,np,nn,np,np,nn,np,np,--,np,np,np,--,--,--,--,nn,nn,--,nn,np,--,np,--,--,np,--,nn,nn
*_SCFLD2_241707,<lmxll>,ll,--,ll,--,lm,--,ll,lm,--,lm,ll,--,--,lm,--,lm,ll,--,ll,ll,--,ll,ll,--,lm,lm,ll,ll,lm,ll,--,--,lm,--,ll,lm,ll,lm,--,--,ll,ll,--,--,--,ll,ll,--,ll,lm,ll,--,lm,ll,lm,--,ll,--,lm,lm,--,ll,lm,--,ll,lm,lm,lm,lm,--,lm,ll,lm,--,--,--,--,--,lm,--,lm,ll,--,lm,--,--,lm,--,ll,ll
*_SCFLD2_402669,<hkxhk>,hk,--,kk,--,--,--,kk,hh,--,hk,kk,--,--,hk,hk,hk,hh,hk,kk,hk,--,hk,--,--,--,--,--,hk,hh,--,hk,--,--,hk,kk,hh,kk,hh,--,hk,--,--,hh,hk,kk,kk,kk,--,hk,hk,--,hk,hh,kk,hk,kk,--,--,hh,hk,hh,--,hh,hk,hk,hh,hk,hh,hh,--,hh,hk,hh,--,--,kk,hk,hk,hk,--,--,--,--,hh,hh,hk,hh,--,kk,kk
