V1,V2,V3
*_SCFLD1811_138895,<nnxnp>,nn,--,np,--,np,--,nn,--,--,--,np,np,np,np,nn,--,np,--,np,--,nn,--,--,--,np,nn,nn,--,np,nn,np,--,--,nn,--,--,np,nn,--,--,nn,--,np,np,np,np,np,nn,nn,np,nn,--,nn,np,np,np,np,nn,np,np,--,np,nn,np,np,--,nn,np,--,--,nn,nn,--,nn,--,nn,nn,--,np,--,np,--,np,nn,--,--,--,--,nn,np
*_SCFLD1811_180254,<nnxnp>,--,--,--,--,np,nn,nn,--,--,nn,--,--,--,np,nn,--,np,--,np,--,nn,nn,nn,nn,--,nn,nn,nn,--,--,np,--,nn,nn,nn,nn,np,nn,--,--,nn,np,np,np,np,np,np,nn,nn,np,--,nn,nn,np,--,np,--,--,--,np,nn,--,nn,np,--,np,--,np,np,nn,nn,--,nn,--,--,nn,nn,nn,np,np,--,np,np,--,--,np,nn,--,nn,np
*_SCFLD1811_180314,<lmxll>,--,--,--,--,ll,lm,--,--,--,--,--,--,--,lm,lm,--,lm,--,ll,--,lm,ll,lm,--,--,ll,lm,ll,--,--,--,--,--,ll,ll,ll,lm,ll,--,--,lm,--,lm,lm,lm,lm,lm,lm,lm,lm,--,--,ll,lm,--,lm,--,--,--,ll,--,--,ll,ll,--,--,--,lm,ll,--,--,--,lm,--,--,lm,ll,--,lm,ll,--,--,ll,--,--,ll,ll,--,ll,lm
*_SCFLD1811_180386,<lmxll>,--,--,ll,--,ll,--,ll,--,--,lm,--,lm,--,lm,lm,--,lm,--,ll,lm,--,ll,lm,--,--,--,lm,--,ll,lm,--,ll,--,--,ll,ll,lm,--,--,--,--,--,--,--,lm,lm,lm,--,lm,lm,ll,ll,--,--,lm,lm,--,lm,lm,ll,lm,ll,--,ll,--,--,--,lm,ll,--,--,ll,--,--,--,lm,--,ll,--,ll,lm,--,--,--,--,ll,ll,--,ll,lm
*_SCFLD1811_180411,<nnxnp>,--,--,np,--,np,--,nn,--,--,nn,np,np,--,np,nn,--,np,np,np,np,nn,nn,nn,--,--,nn,nn,--,np,nn,--,np,nn,--,nn,nn,np,--,nn,--,nn,--,--,--,np,np,nn,--,nn,np,nn,nn,--,--,np,np,--,nn,np,np,nn,np,--,np,--,--,--,np,np,--,--,nn,nn,--,--,nn,--,nn,--,np,np,--,--,--,--,np,nn,--,nn,np
*_SCFLD1811_202966,<nnxnp>,--,--,nn,--,nn,--,np,--,np,np,--,nn,--,nn,--,np,nn,nn,nn,nn,np,np,np,--,nn,np,--,np,nn,np,nn,--,np,--,np,np,nn,np,--,--,np,nn,nn,--,nn,nn,nn,np,np,nn,--,np,np,nn,nn,nn,--,np,--,nn,np,nn,np,nn,nn,nn,np,nn,nn,np,np,np,--,np,--,--,np,np,nn,nn,--,--,--,np,nn,nn,np,np,np,nn
*_SCFLD1811_216284,<nnxnp>,--,nn,np,--,np,--,nn,--,--,--,--,--,--,np,--,nn,--,np,--,--,nn,--,--,--,np,nn,nn,--,--,nn,np,--,nn,--,nn,nn,np,nn,--,nn,nn,--,np,np,np,np,np,nn,nn,np,--,--,nn,--,--,--,--,--,np,--,nn,--,nn,np,np,np,nn,--,np,--,nn,nn,--,--,np,nn,nn,nn,np,nn,np,--,--,nn,np,--,nn,--,nn,np
*_SCFLD1811_216287,<nnxnp>,--,nn,np,--,np,--,nn,--,--,--,--,--,--,np,--,nn,--,np,--,--,nn,--,--,--,np,nn,--,--,--,nn,np,--,nn,--,nn,nn,np,nn,--,nn,nn,--,np,np,np,np,np,nn,nn,np,--,--,nn,np,--,--,--,--,np,--,nn,--,nn,np,np,np,nn,--,np,--,nn,nn,--,--,np,--,nn,--,np,nn,np,--,--,nn,np,--,--,--,nn,--
*_SCFLD1811_216314,<nnxnp>,--,nn,np,--,np,--,nn,--,--,--,--,--,--,np,--,nn,--,np,--,--,nn,--,--,--,np,nn,nn,--,--,nn,np,--,nn,--,--,nn,np,nn,--,nn,nn,--,--,np,np,np,np,nn,nn,np,--,--,nn,np,--,--,--,--,np,--,nn,--,nn,np,np,np,nn,--,np,--,nn,nn,--,--,--,--,nn,--,np,--,np,--,--,--,--,--,--,--,nn,--
*_SCFLD1811_216459,<nnxnp>,--,--,np,--,np,--,nn,np,--,nn,np,--,--,np,--,nn,--,np,np,np,nn,nn,--,--,--,nn,--,nn,np,nn,--,--,--,--,nn,nn,np,nn,nn,--,nn,np,np,np,np,nn,--,--,nn,np,nn,nn,--,np,--,np,--,nn,np,np,nn,np,nn,np,np,np,nn,np,--,--,nn,nn,--,--,--,nn,nn,nn,np,--,np,--,--,nn,np,--,nn,--,--,--
