V1,V2,V3
*_SCFLD9943_140751,<hkxhk>,--,kk,--,--,--,hk,hk,--,hk,hk,--,--,--,hk,hh,hk,hh,hh,--,kk,--,hk,hk,--,--,hk,hh,hk,hk,--,--,--,--,--,--,kk,hk,kk,--,--,hh,kk,--,hh,hk,hh,--,--,hk,hk,hh,--,--,hk,hk,hh,--,--,kk,hh,hk,kk,hk,hk,--,hh,hk,hk,hh,--,hk,hh,--,--,--,hk,hh,hk,hk,hk,hk,--,kk,--,--,--,hh,--,hk,--
*_SCFLD9943_140772,<hkxhk>,--,kk,--,--,--,hk,hk,--,hk,hk,--,--,--,hk,hh,hk,hh,hh,kk,kk,--,hk,hk,--,--,hk,hh,hk,hk,--,--,--,--,--,--,kk,hk,kk,--,--,hh,kk,--,hh,hk,hh,--,--,hk,hk,hh,--,--,hk,hk,hh,--,--,--,hh,hk,kk,hk,hk,--,hh,hk,hk,hh,--,hk,hh,--,--,--,--,hh,hk,hk,--,hk,--,kk,--,hh,--,hh,hk,hk,--
*_SCFLD9943_350622,<lmxll>,--,--,ll,--,--,--,ll,--,--,ll,--,ll,--,--,--,lm,--,lm,ll,--,--,ll,--,--,ll,--,--,--,lm,--,--,--,--,--,ll,ll,--,ll,--,--,lm,--,lm,--,--,lm,ll,--,ll,ll,lm,--,lm,--,--,--,--,--,ll,--,--,ll,lm,--,--,lm,--,ll,lm,lm,ll,lm,lm,--,--,lm,lm,ll,lm,--,ll,--,--,ll,lm,--,lm,--,ll,lm
*_SCFLD9943_544170,<nnxnp>,--,nn,--,--,nn,--,--,np,np,np,--,np,--,np,nn,nn,--,--,nn,--,nn,--,np,--,nn,--,np,nn,nn,--,nn,--,--,--,np,nn,np,nn,--,--,--,nn,--,np,np,np,--,np,--,np,np,np,np,np,--,--,nn,--,nn,np,--,nn,nn,--,nn,np,np,np,--,nn,nn,np,--,--,--,nn,np,--,nn,nn,np,--,nn,--,--,--,np,--,np,--
*_SCFLD9943_544179,<nnxnp>,--,nn,--,--,nn,--,--,np,np,np,--,np,--,np,nn,nn,--,--,nn,--,nn,--,np,--,nn,--,np,nn,nn,--,nn,--,--,--,np,nn,np,nn,--,--,--,--,--,np,np,np,--,np,--,np,np,np,np,np,--,--,nn,--,nn,np,--,nn,nn,--,nn,np,np,np,--,--,nn,np,--,--,--,nn,np,--,nn,nn,np,--,nn,--,--,--,np,--,--,--
*_SCFLD9943_544206,<nnxnp>,--,nn,--,--,nn,--,--,np,np,np,--,--,--,np,nn,nn,--,--,nn,--,--,--,np,--,--,--,np,nn,nn,--,nn,--,--,--,np,nn,np,nn,--,--,--,--,--,np,np,np,--,np,--,np,np,np,np,--,--,--,nn,--,nn,np,--,nn,nn,--,nn,np,--,np,--,--,nn,np,--,--,--,nn,np,--,nn,nn,np,--,nn,--,--,--,np,--,--,--
*_SCFLD9943_775088,<lmxll>,--,--,ll,--,ll,--,ll,lm,--,--,--,ll,--,ll,lm,lm,lm,--,ll,--,--,ll,ll,--,--,--,lm,lm,lm,lm,ll,--,--,--,--,ll,--,--,--,--,lm,--,--,lm,--,lm,ll,--,ll,ll,--,--,lm,--,ll,lm,ll,ll,ll,--,ll,ll,lm,ll,lm,--,ll,--,--,--,ll,lm,--,--,lm,lm,--,ll,lm,--,--,--,--,--,lm,--,--,--,--,--
*_SCFLD9943_791367,<hkxhk>,--,kk,--,--,kk,--,--,--,--,hk,--,hk,--,hk,hk,--,hh,hh,--,--,hk,hk,--,--,kk,hk,hh,hk,hk,hh,--,--,hh,--,--,kk,hk,kk,--,hk,hh,kk,hh,--,hk,--,--,--,hk,--,hh,hh,--,--,hk,--,--,--,kk,hh,--,kk,hk,--,--,hh,hk,hk,--,--,--,hh,hk,--,--,--,--,--,hk,--,hk,--,--,--,--,--,hh,hk,hk,--
*_SCFLD9943_910663,<lmxll>,--,ll,ll,--,ll,lm,ll,lm,ll,ll,--,--,ll,ll,--,lm,lm,lm,ll,ll,lm,ll,ll,--,ll,ll,--,lm,--,lm,--,--,--,ll,ll,ll,ll,--,--,--,lm,ll,lm,lm,ll,lm,ll,--,ll,ll,lm,lm,--,ll,--,lm,--,--,--,--,ll,ll,--,ll,--,lm,ll,ll,lm,--,ll,lm,--,--,--,--,--,ll,--,--,--,--,--,--,lm,--,lm,ll,ll,--
*_SCFLD9943_910682,<lmxll>,--,--,ll,--,ll,lm,ll,lm,ll,ll,--,--,ll,ll,--,lm,lm,lm,ll,ll,lm,ll,ll,--,ll,ll,--,lm,--,lm,--,--,--,--,ll,ll,ll,--,--,--,lm,ll,lm,lm,ll,lm,ll,--,ll,ll,--,lm,--,--,--,lm,--,--,--,--,ll,ll,--,ll,--,lm,ll,ll,lm,--,ll,lm,--,--,--,--,lm,ll,--,--,--,--,--,--,--,--,lm,ll,ll,--
