V1,V2,V3
*_SCFLD9903_104144,<hkxhk>,--,hk,hk,--,hk,--,--,--,--,kk,hk,kk,--,hk,--,hk,hk,hk,kk,--,hh,hk,--,--,kk,--,--,--,--,--,--,--,--,--,hk,hk,hh,hk,--,--,kk,hk,--,--,hk,hk,hk,--,hh,hk,kk,hk,--,kk,kk,kk,hh,--,hk,--,--,hk,hk,kk,hh,hh,--,--,kk,--,hk,hk,kk,hk,--,kk,hh,hh,hh,--,--,--,--,kk,kk,hh,hk,--,hk,hk
*_SCFLD9903_104152,<hkxhk>,--,hk,hk,--,hk,--,--,--,--,kk,hk,kk,--,hk,--,hk,hk,hk,kk,--,hh,hk,hk,--,kk,--,--,--,--,--,--,--,--,--,hk,hk,hh,hk,--,--,kk,hk,--,--,hk,hk,hk,--,hh,hk,kk,hk,--,kk,kk,--,hh,--,hk,--,--,hk,hk,kk,hh,hh,--,--,kk,--,hk,hk,kk,hk,--,kk,hh,hh,hh,--,--,--,--,kk,kk,hh,hk,--,hk,hk
*_SCFLD9903_104163,<hkxhk>,--,hk,--,--,hk,--,--,--,--,--,hk,kk,--,hk,--,hk,hk,hk,kk,--,hh,hk,--,--,kk,--,--,--,--,--,--,--,--,--,hk,--,hh,hk,--,--,kk,hk,--,--,hk,hk,hk,hk,hh,hk,kk,hk,--,kk,--,--,hh,--,hk,--,--,hk,hk,--,hh,hh,--,--,kk,--,hk,hk,kk,hk,--,--,hh,hh,hh,--,--,--,--,kk,kk,hh,hk,--,hk,--
*_SCFLD9903_104251,<nnxnp>,--,--,--,--,nn,--,--,nn,--,np,--,--,--,np,--,--,np,nn,np,np,nn,--,nn,--,--,nn,np,nn,nn,np,nn,--,nn,nn,nn,--,--,--,--,--,np,nn,--,np,nn,--,nn,--,nn,np,--,nn,nn,--,--,--,--,--,nn,--,nn,--,np,np,nn,nn,--,--,--,--,nn,nn,--,--,--,np,nn,nn,nn,nn,np,--,np,--,np,--,--,--,nn,nn
*_SCFLD9903_104289,<hkxhk>,--,hk,hk,--,hk,--,--,hh,--,kk,hk,kk,kk,hk,--,--,hk,hk,kk,kk,hh,hk,hk,--,--,hk,hk,hk,hk,hk,hk,--,hk,hh,hk,--,--,--,--,--,kk,hk,hk,kk,hk,--,hk,--,hh,hk,kk,hk,hh,--,kk,kk,--,--,hk,--,hh,--,hk,kk,hh,hh,--,--,--,--,hk,hk,--,--,--,kk,hh,hh,hh,hh,kk,--,kk,--,kk,--,hk,--,hk,hk
*_SCFLD9903_192125,<hkxhk>,--,hk,--,--,--,kk,hk,--,hh,hh,hk,hh,--,hk,kk,hk,hk,--,hh,hh,kk,hk,hk,--,hh,kk,hk,hk,hk,hk,hk,hk,hk,--,hk,--,kk,hk,--,--,hh,hk,--,hh,hk,hk,hk,--,kk,hk,hh,hk,--,hh,--,hh,--,--,hk,kk,kk,hk,hk,hh,--,kk,hk,hh,hh,hh,--,hk,hh,hk,--,hh,kk,--,kk,kk,hh,--,hh,hh,--,--,--,hk,hk,--
*_SCFLD9903_192143,<hkxhk>,--,hk,--,--,--,kk,hk,--,hh,hh,--,hh,--,hk,kk,hk,hk,--,hh,hh,kk,hk,hk,--,hh,kk,hk,hk,hk,hk,hk,hk,hk,hk,hk,--,--,hk,--,--,hh,hk,--,hh,hk,hk,hk,--,kk,hk,hh,hk,--,--,--,hh,--,--,hk,kk,kk,hk,hk,hh,--,kk,hk,hh,hh,hh,hk,hk,hh,hk,--,hh,kk,--,kk,kk,hh,--,hh,hh,--,--,--,hk,hk,--
*_SCFLD9903_192169,<lmxll>,--,--,--,--,--,ll,ll,--,--,lm,--,--,--,ll,ll,lm,ll,--,--,--,ll,ll,lm,--,lm,--,ll,lm,lm,ll,lm,lm,--,--,lm,--,--,ll,--,--,lm,lm,--,lm,--,ll,lm,ll,ll,ll,lm,lm,--,lm,--,lm,--,--,--,--,ll,ll,ll,--,--,ll,ll,lm,lm,lm,--,lm,lm,--,--,lm,ll,--,ll,--,lm,--,lm,lm,--,--,--,lm,lm,--
*_SCFLD9903_211848,<hkxhk>,--,--,hk,--,--,--,hk,hh,--,--,hk,--,--,hk,--,hk,hk,--,kk,kk,--,--,hk,--,kk,--,hk,hk,hk,hk,hk,--,--,--,hk,hk,--,hk,--,kk,kk,--,--,--,--,hk,hk,hk,hh,hk,kk,hk,hh,kk,--,--,--,--,--,--,--,hk,hk,kk,hh,--,--,--,--,kk,--,hk,kk,--,--,kk,--,hh,--,--,kk,--,kk,kk,--,--,hk,--,hk,--
*_SCFLD9903_211867,<hkxhk>,--,--,hk,--,--,--,hk,hh,--,--,hk,--,--,hk,--,hk,hk,--,--,kk,--,--,hk,--,kk,hh,hk,hk,hk,hk,hk,--,--,--,hk,hk,--,hk,--,kk,kk,--,--,--,--,hk,hk,hk,hh,hk,kk,hk,--,kk,--,--,--,--,--,--,--,hk,hk,kk,hh,--,--,--,--,kk,--,hk,kk,--,--,kk,--,hh,--,--,kk,--,kk,kk,--,--,hk,--,hk,hk
