V1,V2,V3
*_SCFLD9936_47115,<hkxhk>,--,--,hk,--,hh,--,hk,--,--,hk,hk,--,--,--,--,hk,hh,hk,--,--,--,hh,hk,--,hk,hk,kk,--,hk,--,--,--,--,--,hk,--,hh,hk,--,--,kk,--,hh,--,--,hk,hk,--,--,hh,hk,kk,hh,hh,hk,hh,--,hk,--,hk,hk,kk,--,--,--,hh,hh,--,--,--,hk,hh,hk,--,--,--,--,--,hk,hk,--,--,hk,hh,--,--,hh,--,kk,hk
*_SCFLD9936_47135,<hkxhk>,--,--,kk,--,hh,--,hk,--,--,kk,kk,--,--,--,--,hk,hh,hk,--,--,--,hh,hk,--,--,kk,kk,--,hk,--,--,--,--,--,--,--,hh,hk,--,--,kk,--,hh,--,--,hk,--,--,--,hh,hk,kk,hh,hh,hk,hh,--,--,kk,hk,hk,kk,--,--,--,hh,hh,--,--,--,hk,hh,hk,--,--,--,--,--,kk,kk,--,--,hk,--,--,--,hh,--,kk,hk
*_SCFLD9936_47245,<hkxhk>,--,--,--,kk,hh,--,--,kk,--,kk,--,--,--,hk,--,hk,hh,--,--,--,--,--,hk,--,hk,kk,--,hh,hk,--,hk,hk,--,--,kk,kk,--,hk,--,--,kk,hk,--,hh,--,hk,hk,kk,hh,hh,hk,kk,hh,--,--,hh,kk,--,kk,hk,--,--,hh,--,kk,hh,--,--,--,--,--,hh,--,--,kk,hk,--,hh,--,--,hh,--,--,hh,--,--,--,--,kk,--
*_SCFLD9936_47267,<hkxhk>,--,--,--,kk,hh,--,hk,kk,--,kk,--,--,--,hk,--,hk,hh,--,hk,--,--,--,hk,--,hk,kk,--,hh,hk,--,hk,hk,--,--,kk,kk,--,hk,--,--,kk,hk,--,hh,--,hk,hk,kk,hh,hh,hk,kk,hh,--,--,hh,kk,--,--,hk,--,--,hh,hh,kk,hh,--,--,--,--,--,hh,--,--,kk,hk,--,hh,--,kk,hh,--,--,hh,--,--,--,--,kk,--
*_SCFLD9936_67842,<hkxhk>,--,hk,--,--,hh,--,--,--,--,kk,kk,hh,--,hk,--,hk,--,hk,--,hk,hk,--,--,--,hk,kk,kk,hh,hk,--,hk,--,--,--,kk,kk,hh,hk,--,--,kk,hk,hh,hh,hk,hk,hk,--,hh,hh,--,kk,--,hh,hk,--,--,--,kk,--,hk,kk,--,hh,--,hh,hh,--,--,--,hk,hh,hk,--,--,hk,hk,--,kk,--,--,--,hk,hh,--,--,--,--,kk,--
*_SCFLD9936_133124,<nnxnp>,--,np,--,--,nn,--,np,--,--,np,--,--,--,np,np,--,nn,--,--,--,nn,--,--,--,--,np,np,nn,nn,--,--,--,--,--,np,--,nn,nn,--,--,np,--,--,nn,--,nn,np,np,nn,nn,np,--,nn,--,np,--,--,--,np,nn,nn,np,nn,nn,np,nn,--,np,np,--,--,nn,nn,--,--,--,nn,nn,np,--,nn,--,--,--,nn,np,nn,--,--,--
*_SCFLD9936_196180,<lmxll>,--,--,--,--,--,--,--,lm,--,lm,lm,--,--,ll,ll,lm,ll,ll,--,lm,lm,ll,lm,ll,--,--,lm,--,lm,ll,--,--,ll,--,--,lm,ll,lm,--,--,lm,ll,ll,ll,--,lm,ll,--,ll,ll,ll,--,ll,ll,ll,ll,lm,lm,lm,lm,--,lm,--,ll,lm,ll,ll,lm,--,--,--,ll,lm,--,--,lm,lm,ll,ll,lm,ll,lm,lm,ll,--,--,ll,--,lm,lm
*_SCFLD9936_243102,<lmxll>,--,--,lm,--,--,--,ll,--,--,--,lm,ll,ll,ll,--,lm,ll,ll,lm,--,--,ll,lm,ll,lm,lm,--,ll,lm,ll,ll,--,ll,lm,--,lm,ll,--,lm,--,lm,ll,ll,--,lm,lm,ll,--,ll,ll,ll,lm,--,--,--,ll,--,lm,lm,lm,lm,lm,ll,--,lm,ll,ll,--,--,ll,lm,ll,lm,--,--,--,lm,--,lm,lm,ll,--,lm,--,--,lm,ll,--,lm,lm
*_SCFLD9936_438564,<nnxnp>,--,nn,--,--,--,--,--,nn,--,--,nn,np,--,nn,--,--,np,nn,np,np,np,--,np,--,np,--,--,np,--,--,--,--,--,--,nn,--,np,--,--,--,nn,nn,np,np,--,np,nn,--,--,np,nn,nn,np,--,--,np,nn,nn,--,--,--,nn,--,--,nn,np,--,--,--,nn,np,np,--,--,nn,--,np,--,--,--,np,--,np,--,--,--,np,--,nn,np
*_SCFLD9936_551180,<nnxnp>,--,--,np,--,nn,--,--,--,--,np,np,nn,--,np,np,--,--,np,--,--,nn,--,nn,--,--,--,np,--,nn,np,np,--,np,--,--,np,nn,--,--,--,np,np,--,nn,nn,nn,np,np,--,nn,--,--,nn,nn,np,--,--,--,np,nn,--,np,--,nn,np,--,nn,np,np,--,nn,nn,--,--,--,nn,nn,nn,np,--,nn,--,--,--,nn,--,nn,--,np,--
